Ground Truth,Prediction
zero, ಎಎ
richiama, ಎಎ
cella,sali
stop,
vai nei preferiti,vaiṃapitiṃ
vai alla pagina principale,vaii avapati napeenshi pali
attiva vivavoce,apriva grata
chiama emergenza,lniti
scorri verso l alto, कोईःच्टाः
no, Nya
aggiungi,aggiungi
rubrica,rubyata
rimuovi,
seleziona,
sali,si
chiama ultimo numero,चाह्एच्ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
cancella tutto,ansali
scesi,savo
muto,muto
otto,अट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
due,due
aggiungi ai preferiti,aggi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
mali,
apri rubrica 1,apri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
top,
raggiungi,laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki
vai nella rubrica,
disattiva vivavoce,divisiva vivavoce
cinque,
quattro,quattro
tre,
si,
sette,s
scorri verso il basso,scorilați-vai!
sopra,sopra
